2026-06-12 11:22:48.016 | DEBUG    | __main__:process_symbol:130 - EURUSDm | dir=None rr=None valid=False checks={'h4_bias': False, 'h1_structure': False, 'bias_matches_structure': False, 'm15_setup': False, 'm5_entry': False, 'm1_refinement': False, 'risk_reward': False}
2026-06-12 11:22:48.016 | WARNING  | broker.mt5_client:get_candles:61 - Symbol not found: GBPUSD
2026-06-12 11:22:48.017 | WARNING  | broker.mt5_client:get_candles:61 - Symbol not found: GBPUSD
2026-06-12 11:22:48.017 | WARNING  | broker.mt5_client:get_candles:61 - Symbol not found: GBPUSD
2026-06-12 11:22:48.018 | WARNING  | broker.mt5_client:get_candles:61 - Symbol not found: GBPUSD
2026-06-12 11:22:48.018 | WARNING  | broker.mt5_client:get_candles:61 - Symbol not found: GBPUSD
2026-06-12 11:22:48.019 | WARNING  | __main__:process_symbol:118 - Skipping GBPUSD — missing candle data
2026-06-12 11:23:58.012 | DEBUG    | __main__:process_symbol:130 - XAUUSDm | dir=SELL rr=None valid=False checks={'h4_bias': True, 'h1_structure': True, 'bias_matches_structure': True, 'm15_setup': False, 'm5_entry': False, 'm1_refinement': False, 'risk_reward': False}
2026-06-12 11:24:04.199 | DEBUG    | __main__:process_symbol:130 - EURUSDm | dir=None rr=None valid=False checks={'h4_bias': False, 'h1_structure': False, 'bias_matches_structure': False, 'm15_setup': False, 'm5_entry': False, 'm1_refinement': False, 'risk_reward': False}
2026-06-12 11:24:04.200 | WARNING  | broker.mt5_client:get_candles:61 - Symbol not found: GBPUSD
2026-06-12 11:24:04.200 | WARNING  | broker.mt5_client:get_candles:61 - Symbol not found: GBPUSD
2026-06-12 11:24:04.201 | WARNING  | broker.mt5_client:get_candles:61 - Symbol not found: GBPUSD
2026-06-12 11:24:04.201 | WARNING  | broker.mt5_client:get_candles:61 - Symbol not found: GBPUSD
2026-06-12 11:24:04.202 | WARNING  | broker.mt5_client:get_candles:61 - Symbol not found: GBPUSD
2026-06-12 11:24:04.203 | WARNING  | __main__:process_symbol:118 - Skipping GBPUSD — missing candle data
2026-06-12 11:24:34.382 | INFO     | __main__:run:222 - Bot stopped by user
2026-06-12 11:24:34.387 | INFO     | broker.mt5_client:shutdown:43 - MT5 disconnected
2026-06-12 11:24:40.967 | INFO     | __main__:run:195 - Starting MT5 Improved bot
2026-06-12 11:24:42.330 | INFO     | notifications.telegram_bot:__init__:26 - Telegram notifier enabled (chat_id=7821580077)
2026-06-12 11:24:42.354 | INFO     | broker.mt5_client:connect:28 - MT5 connected (login=436317515, server=ExnessKE-MT5Trial9)
2026-06-12 11:24:46.663 | DEBUG    | __main__:process_symbol:135 - XAUUSDm | dir=SELL rr=None valid=False checks={'h4_bias': True, 'h1_structure': True, 'bias_matches_structure': True, 'm15_setup': False, 'm5_entry': False, 'm1_refinement': False, 'risk_reward': False}
2026-06-12 11:24:51.070 | DEBUG    | __main__:process_symbol:135 - EURUSDm | dir=None rr=None valid=False checks={'h4_bias': False, 'h1_structure': False, 'bias_matches_structure': False, 'm15_setup': False, 'm5_entry': False, 'm1_refinement': False, 'risk_reward': False}
2026-06-12 11:24:55.632 | DEBUG    | __main__:process_symbol:135 - GBPUSDm | dir=SELL rr=None valid=False checks={'h4_bias': True, 'h1_structure': True, 'bias_matches_structure': True, 'm15_setup': False, 'm5_entry': False, 'm1_refinement': False, 'risk_reward': False}
2026-06-12 11:26:03.511 | DEBUG    | __main__:process_symbol:135 - XAUUSDm | dir=SELL rr=None valid=False checks={'h4_bias': True, 'h1_structure': True, 'bias_matches_structure': True, 'm15_setup': False, 'm5_entry': False, 'm1_refinement': False, 'risk_reward': False}
2026-06-12 11:26:09.164 | DEBUG    | __main__:process_symbol:135 - EURUSDm | dir=None rr=None valid=False checks={'h4_bias': False, 'h1_structure': False, 'bias_matches_structure': False, 'm15_setup': False, 'm5_entry': False, 'm1_refinement': False, 'risk_reward': False}
2026-06-12 11:26:14.672 | DEBUG    | __main__:process_symbol:135 - GBPUSDm | dir=SELL rr=None valid=False checks={'h4_bias': True, 'h1_structure': True, 'bias_matches_structure': True, 'm15_setup': False, 'm5_entry': False, 'm1_refinement': False, 'risk_reward': False}
2026-06-12 11:27:20.223 | DEBUG    | __main__:process_symbol:135 - XAUUSDm | dir=SELL rr=None valid=False checks={'h4_bias': True, 'h1_structure': True, 'bias_matches_structure': True, 'm15_setup': False, 'm5_entry': False, 'm1_refinement': False, 'risk_reward': False}
2026-06-12 11:27:25.002 | DEBUG    | __main__:process_symbol:135 - EURUSDm | dir=None rr=None valid=False checks={'h4_bias': False, 'h1_structure': False, 'bias_matches_structure': False, 'm15_setup': False, 'm5_entry': False, 'm1_refinement': False, 'risk_reward': False}
2026-06-12 11:27:29.794 | DEBUG    | __main__:process_symbol:135 - GBPUSDm | dir=SELL rr=None valid=False checks={'h4_bias': True, 'h1_structure': True, 'bias_matches_structure': True, 'm15_setup': False, 'm5_entry': False, 'm1_refinement': False, 'risk_reward': False}
